Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW24630185.htm, ,2/10/2019, , , ,No, ,Full-time,4,4,4,4,4,4,Getting Better,Yes,Approve,"Highly professional, collegial and positive culture.",My personal experience was entirely positive and rewarding.,Continue to recruit team players.,Head Channel Management Canada, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW22492268.htm, ,9/15/2018,New York,New York State,US,No,More than 5 years,Full-time,3,3,3,1,3,2,Getting Better,Yes,No Opinion,"Relatively laid back, semi fair pay, as long as you get the work done no body bothers you","lack of leadership/management skills/no career opportunities, basically a dead end job.","Reward your staff and actually appreciate them, a couple of meetings to inform everyone wouldn't hurt. Updates on direction of where the business is going, higher pay",Index Operations, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW20884899.htm, ,6/4/2018,New York,New York State,US,Yes,More than a year,Full-time,5,3,4,4,5,5,Getting Better,Yes,Approve,"Relaxed Environment, Benefits, No micro-managing,",Change takes a long time., ,Great Enviornment, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW17619709.htm, ,10/29/2017, , , ,Yes, ,Full-time,1,1,1,1,4,1,Staying the Same,No,No Rating,"Depending on the group, work life balance can be OK (not investment bank hours)","- Very old school way of thinking, behind the times on company initiatives
- All white male leadership and favoritism seems to go that way
- HR is an atrocity.  The worst I've seen in the industry. 
- Not competitive pay",The whole culture needs to change and it needs to change from the top.,Stay away!!, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW16556390.htm, ,8/28/2017, , , ,No, ,Full-time,4,0,0,0,0,0, ,Yes,No Rating,Pay decent and good benefits.,"Too much red tape, career paths not well defined",Career paths should be better defined.,Analyst, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW16083428.htm,Graphic Designer,7/26/2017,Princeton,New Jersey,US,No,More than 5 years,Freelance,5,3,4,5,5,4,Getting Better,Yes,No Rating,"As a freelancer, communication with the team was always smooth and their need were well articulated.  Response time was always fast.","I did not have any bad experiences while working here, except for the fact they did not have the budget to hire full time.", ,Great company to work for, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW15486839.htm,Senior Analyst,6/15/2017,New York,New York State,US,Yes,More than a year,Full-time,5,3,5,4,5,4,Getting Better,Yes,No Rating,"Great work life balance
Good compensation
Friendly environment",Can't think of any off the top of my head, ,Great Employer, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW15051394.htm,Analyst,5/14/2017,New York,New York State,US,Yes,Less than a year,Full-time,5,5,3,5,5,4,Getting Better,Yes,No Rating,"Good group, smart, extremely qualified people",Some inefficiency relating to IT curbs productivity,Invest in IT,Good work environment, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW13985679.htm,Index Manager,2/28/2017,New York,New York State,US,No,More than 8 years,Full-time,3,2,4,3,4,3,Staying the Same,No,No Rating,"Pay is fair, work/life balance is for the most part is reasonable.  Promotions and bonuses are done in a fair way.  Work force is relatively young and an intelligent group.",Long hours during certain times of the year.  Frequent breakdowns in technology resulting in delays.  Frequent team restructuring and promotions which seem to be done just to create the feel of career advancement.  Niche business with little relatable work experience in other more broad finance roles.,"Less middle management, more interaction directly with employees.  More transparency on career paths.",Overall a Good Experience, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW13237331.htm, ,1/8/2017, , , ,No, ,Full-time,4,0,0,0,0,0, , ,No Rating,Allowed to work autonomously.,Poor job security in department,Better team environment.,Manager, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW11815854.htm, ,9/6/2016, , , ,Yes, ,Full-time,5,3,4,4,4,3,Getting Better,Yes,No Rating,"Small Firm vibes, despite overall company size. Great opportunity to learn through working with many departments.",Not many - a lot of opportunities to grow., ,Great Company, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW10977045.htm,Graphic Designer,6/20/2016,New York,New York State,US,Yes,Less than a year,Contract,4,5,3,4,4,4,Getting Better,Yes,No Rating,"-Coworkers are all very helpful, friendly, and driven
-The scale of which your work is seen is quite impressive since its a globally renown company",#NAME?, ,"Great people, good work", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW9954890.htm,Research Analyst,3/17/2016,New York,New York State,US,Yes,Less than a year, ,5,2,1,4,4,4,Getting Better,Yes,No Rating,Your experience highly depends on the team that you are working with. Mine is a good team,nothing that i can think of, ,Good work good people, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7930098.htm, ,9/13/2015, , , ,Yes, , ,3,3,3,3,3,4, ,Yes,No Rating,"- Bright co-workers and leaders
- on going changes and increasing learning path",#NAME?, ,Great culture, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7849087.htm,Senior Data Associate,9/5/2015,New York,New York State,US,Yes,More than 8 years,Full-time,4,3,4,4,2,3,Getting Better,Yes,No Rating,"Great benefits. 
Great perks (ERG)",Not much life work balance encouragement, ,Senior Data Associate, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7455931.htm, ,8/4/2015,New York,New York State,US,Yes,More than 5 years,Full-time,3,3,5,4,5,2,Getting Better,No,No Rating,"Location 
Work life balance 
Ceo","Salary
Politics and favoritism and bias driven by committee chairman.",Value production teams brtter,Boys club, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7330388.htm, ,7/23/2015, , , ,No, ,Full-time,4,0,0,0,0,0, , ,No Rating,"Easy going culture, nice people","not innovative, not best in class", ,Associate Director, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW6109205.htm,Senior Index Manager,3/13/2015,London,England,UK,Yes,More than 3 years,Full-time,3,3,3,3,4,2,Getting Better,No,No Rating,"great exposure, great brand, high complexity of products","management, structure, pay, bonus, inequality, lack of recognition of staff", ,"exposure to complex strategies, valuable experience, steep learning curve", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5933241.htm, ,2/17/2015, , , ,Yes, , ,4,3,4,4,2,3,Staying the Same,No,No Rating,Most groups have a great work/life balance and employees generally enjoy working for the company.,Be sure to find your way into the boys club and also the squeaky wheel tends to get the grease., ,"Overall positive experience, interesting company with potential to exceed competitors.", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5694360.htm, ,1/14/2015, , , ,No, , ,3,3,3,3,3,2,Staying the Same,Yes,No Rating,You work with very smart individuals that can help you develop as a professional. The company is owned by McGraw Hill but still feels like a small shop. There is some opportunity internally for high performers in years of plenty but you need to be in with the 'in crowd'. In general they try to do the right thing and i would recommend as a good career step.,"Extremely political - very difficult to get decisions out of middle management, so many projects and other solutions fall short of optimal. There are quite a bit of 'dead weight' individuals which hurt any chance of improvement in daily operational processes and are protected by management because they're part of the 'in crowd'. This frustrates the hard workers who often leave because of it.",Trim the fat and minimize the toxic environment created by toxic employees/managers/executives. There are more capable folks out there. Do the right thing and practice what you preach!,Interesting work with lots of bright people, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5553452.htm,Summer Intern,12/17/2014,New York,New York State,US,No, , ,4,3,4,4,5,4,Staying the Same,Yes,No Rating,McGraw Hill Financial has a great internship program with weekly events informing interns about the many different subsidiary companies. CEOs speak to the interns and there are fun activities including community service. S&PDJI was full of friendly people willing to share their knowledge. It was a great first internship.,"Most of the employees have been in the company for awhile, but there seems to be a shift to younger people recently!", ,"Great company, great summer internship!", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5284277.htm, ,10/30/2014, , , ,Yes, ,Full-time,5,5,4,4,4,5,Getting Better,Yes,No Rating,"People, Experience, Industry leader, Work life, Career progression",Politics and limited training outside job specific, ,Great experience and recommend SPDJI, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW4375950.htm, ,6/9/2014, , , ,Yes,More than a year,Full-time,5,5,5,5,5,5,Getting Better,Yes,No Rating,They are a great work/life organization,There are no negative aspects., ,Great place to work., 
